PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,22.0,1,0,7.25,S
2,1,1,female,38.0,1,0,71.28,C
3,1,3,female,26.0,0,0,7.92,S
4,1,1,female,35.0,1,0,53.1,S
5,0,3,male,35.0,0,0,8.05,S
6,0,3,male,,0,0,8.46,Q
7,0,1,male,54.0,0,0,51.86,S
8,0,3,male,2.0,3,1,21.07,
9,1,3,female,27.0,0,2,11.13,S
10,1,2,female,14.0,1,0,30.07,C
11,1,3,female,4.0,1,1,,S
12,1,1,female,58.0,0,0,26.55,S
13,0,3,male,20.0,0,0,8.05,S
14,0,3,male,,1,5,31.27,S
15,1,3,female,14.0,0,0,7.85,S
16,1,2,female,55.0,0,0,16.0,
17,0,3,male,2.0,4,1,29.12,Q
18,1,2,male,31.0,0,0,13.0,S
19,0,3,female,31.0,1,0,18.0,S
20,1,3,female,35.0,0,0,7.22,C
21,0,2,male,35.0,0,0,26.0,S
22,1,2,male,34.0,0,0,13.0,S
23,1,3,female,,0,0,8.03,S
24,1,1,male,28.0,0,0,35.5,S
25,0,3,female,8.0,3,1,21.07,S
26,1,3,female,38.0,1,5,31.39,S
27,0,3,male,19.0,0,0,7.22,C
28,0,1,male,40.0,0,0,26.55,S
29,1,3,female,18.0,0,0,7.23,C
30,0,3,male,30.0,0,0,7.9,S
31,0,1,male,45.0,0,0,27.72,
32,1,1,female,40.0,1,0,146.52,C
33,1,3,female,24.0,0,0,7.9,S
34,0,2,male,28.0,0,0,13.0,S
35,0,1,male,30.0,1,0,82.17,C
36,0,3,male,42.0,0,0,8.05,S
37,1,3,male,28.0,0,0,7.23,C
38,0,3,male,21.0,0,0,8.66,S
39,1,3,female,18.0,2,0,18.0,S
40,1,3,female,,1,0,11.24,C
41,0,3,male,40.0,1,0,9.47,S
42,0,2,female,27.0,1,0,21.0,S
43,0,3,male,29.0,0,0,7.9,S
44,1,2,female,3.0,1,2,41.58,C
45,1,3,female,19.0,0,0,7.88,Q
46,0,3,male,33.0,0,0,8.05,S
47,0,3,male,29.0,1,0,15.5,Q
48,1,3,female,25.0,0,0,7.75,Q
49,0,3,male,20.0,2,0,21.68,S
50,0,3,female,18.0,1,0,17.8,S
